index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
1243,-82.286744,-82.282169,1.429200,192.630000,1,5,8,-0.463327,0.076291,0.086466
1244,-61.506256,-61.499968,6.023400,129.840000,1,5,4,-0.222485,0.305971,0.540643
1245,-53.987543,-53.985126,4.250000,142.010000,2,2,5,-0.325182,0.223630,0.348777
1246,-274.879720,-274.860930,0.009200,799.080000,2,16,32,-0.317236,0.153409,0.000134
1247,-60.333392,-60.327448,2.825600,156.080000,1,5,4,-0.105233,0.423223,0.210980
1248,-91.383507,-91.379414,7.504100,251.590000,4,2,10,-0.189861,0.341926,0.347602
1249,-349.915960,-349.898410,24.334700,572.440000,30,2,19,-0.160050,0.235550,0.495420
1250,-48.649615,-48.644495,2.043600,123.300000,1,3,4,-0.393091,0.178629,0.193157
1251,-287.746010,-287.733210,10.501100,780.440000,16,1,32,-0.318803,0.200892,0.156810
1252,-126.946680,-126.935700,3.897300,310.620000,8,2,10,-0.266448,0.259297,0.146222
1253,-256.698280,-256.686680,31.568500,602.690000,8,16,16,-0.346795,0.161292,0.610432
1254,-110.189380,-110.182540,19.487800,182.650000,6,6,4,-0.152399,0.218879,1.243428
1255,-292.322110,-292.302530,0.085700,815.270000,2,18,32,-0.375540,0.119670,0.001225
1256,-267.520720,-267.498180,0.000700,774.900000,1,16,32,-0.343170,0.109341,0.000011
1257,-131.587220,-131.575260,0.017600,359.600000,4,6,12,-0.337395,0.219382,0.000570
1258,-112.198980,-112.191890,13.046600,174.500000,3,12,1,-0.028805,0.116264,0.871323
1259,-920.828370,-920.786130,46.724400,2382.580000,48,10,96,-0.365174,0.160558,0.228546
1260,-91.832134,-91.826662,0.094400,217.120000,3,4,8,-0.419080,0.136109,0.005067
1261,-47.834661,-47.831895,5.527500,127.970000,2,2,4,-0.112940,0.437882,0.503382
1262,-58.523360,-58.519885,2.474000,99.800000,2,4,3,-0.216254,0.243021,0.288899
1263,-268.955090,-268.937600,6.679600,695.390000,14,6,24,-0.274110,0.259869,0.111944
1264,-42.012703,-42.007901,0.592200,117.470000,2,1,4,-0.281029,0.255267,0.058751
1265,-167.063600,-167.052160,4.522300,452.110000,4,8,16,-0.450135,0.100758,0.116572
1266,-58.421676,-58.415336,2.223200,97.490000,2,4,3,-0.204638,0.254637,0.265764
1267,-167.128950,-167.122040,5.762300,386.290000,4,8,16,-0.452630,0.098262,0.173844
